Name,Phase,dist,Demand...Projected.nodal.demand.per.year,Demand..household....Target.household.count,PercentOfNewGridConnections,far.sighted.sequence,CumulativeHousesConnected.qty,Pln_cabang,Metric...System,Ei_subarea,Full_popul,X,Y
820113002001,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,435,127.548218,1.496682
820113002002,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,855,127.541893,1.493655
820113002101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,778,127.537355,1.504641
820113002201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,359,127.552275,1.499614
820113002202,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,45,127.554328,1.503647
820113002203,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,538,127.554062,1.501169
820113002301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,38,127.550314,1.49982
820113002302,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,639,127.551145,1.501864
820113003701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,491,127.581974,1.458807
820113100101,3,5382.60054590895,106704,104,0.941410504832773,586,82107,Ternate,grid,Halmahera,417,127.471551,1.3157
820113100201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1299,127.542959,1.274269
820113100301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,2594,127.487371,1.360793
820113100401,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,698,127.489968,1.373268
820113100501,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,421,127.491448,1.39117
820113100502,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,39,127.49085,1.385779
820113100601,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,452,127.490261,1.383131
820113100701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,395,127.495456,1.397936
820113100801,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,603,127.508552,1.414749
820113100901,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,274,127.521854,1.425407
820113100902,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1182,127.516951,1.423117
820113101001,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,0,127.530257,1.429875
820113101002,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,734,127.522456,1.426722
820113101101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,421,127.530359,1.431359
820113101201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,771,127.533807,1.435645
820113101202,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,28,127.536292,1.434584
820113101203,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,33,127.531689,1.432707
820113101301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,520,127.537524,1.435879
820113200101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,841,127.5622,1.524061
820113200201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,202,127.574714,1.531575
820113200301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,65,127.586269,1.535129
820113200302,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,439,127.584483,1.534634
820113200401,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1037,127.601732,1.540526
820113200501,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,872,127.621296,1.551919
820113200601,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,91,127.625324,1.550049
820113200602,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,11,127.625744,1.54892
820113200603,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,280,127.626751,1.547413
820113200701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,676,127.634904,1.547881
820113200801,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,371,127.645729,1.544471
820113200901,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,494,127.642633,1.543918
820113201001,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,458,127.64584,1.543041
820113201101,1,3552.39015045029,102600,100,0.286618434479517,131,24998,Ternate,grid,Halmahera,415,127.671771,1.525474
820113201201,1,211.23237222148,262656,256,0.289553642065194,132,25254,Ternate,grid,Halmahera,943,127.673662,1.525662
820113201301,2,5249.22689046318,211356,206,0.478668149557999,255,41748,Ternate,grid,Halmahera,829,127.694369,1.483235
820114000101,2,483.156700661156,144666,141,0.430237224394327,227,37524,Ternate,grid,Halmahera,780,127.554506,1.596704
820114000201,2,2674.0735832895,30780,30,0.427886765194859,225,37319,Ternate,grid,Halmahera,148,127.566872,1.611661
820114000202,2,1937.54525724686,65664,64,0.428620567091278,226,37383,Ternate,grid,Halmahera,326,127.553202,1.600849
820114000301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,122,127.551865,1.633707
820114000302,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,516,127.551073,1.629395
820114000401,3,1146.04268492974,28728,28,0.810243415847828,492,70667,Ternate,grid,Halmahera,103,127.58653,1.695169
820114000402,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,300,127.58325,1.6747
820114000501,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,512,127.585462,1.674213
820114000502,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,265,127.587065,1.670924
820114000503,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,347,127.587535,1.668196
820114000504,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,89,127.5877,1.662466
820114000601,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,52,127.596451,1.668072
820114000602,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,512,127.596429,1.667055
820114000701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,543,127.601262,1.694557
820114000801,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,512,127.598402,1.700855
820114000901,1,1160.23377696328,112860,110,0.134755838884621,44,11753,Ternate,grid,Halmahera,420,127.608128,1.705277
820114000902,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,141,127.606208,1.705137
820114001001,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,356,127.594509,1.704003
820114001101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,935,127.569726,1.70585
820114001201,2,3317.4786863195,90288,88,0.379891534907186,192,33133,Ternate,grid,Halmahera,379,127.653099,1.819317
820114001202,2,7325.55332321388,51300,50,0.378882557299609,191,33045,Ternate,grid,Halmahera,216,127.627499,1.803974
820114001301,2,3771.06528834459,104652,102,0.382253459761285,194,33339,Ternate,grid,Halmahera,477,127.666909,1.868841
820114001401,2,1871.88686767063,93366,91,0.383296834332756,195,33430,Ternate,grid,Halmahera,467,127.67528,1.883449
820114001501,2,4637.99766094057,173394,169,0.385234529965488,196,33599,Ternate,grid,Halmahera,685,127.699717,1.917261
820114001601,2,3986.01769845835,213408,208,0.387619386128851,197,33807,Ternate,grid,Halmahera,904,127.718853,1.94758
820114001701,2,2808.36147268373,122094,119,0.458958689246363,246,40029,Ternate,grid,Halmahera,510,127.53885,1.576881
820114001901,2,2507.05125204324,47196,46,0.388146806241902,198,33853,Ternate,grid,Halmahera,204,127.737487,1.960289
820114002001,2,2439.58774231565,106704,104,0.381083962988867,193,33237,Ternate,grid,Halmahera,476,127.648027,1.840663
820114002101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,282,127.589137,1.71114
820114002201,3,6215.31377773549,121068,118,0.945549606154763,588,82468,Ternate,grid,Halmahera,522,127.518788,1.684061
820114002399,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,282,127.6264776,1.737129693
820203000601,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,435,127.879909,0.299892
820203000701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,2403,127.876355,0.328077
820203001901,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,770,127.87432,0.323251
820203001902,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,274,127.873398,0.315423
820203002001,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1818,127.877928,0.331254
820203002101,1,2660.16993860519,189810,185,0.261336666016946,111,22793,Ternate,grid,Halmahera,694,127.891359,0.357267
820203002299,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,700,127.8584702,0.329839333
820203100101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,830,127.877497,0.144438
820203100201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,900,127.88124,0.159246
820203100301,1,1044.92180264353,115938,113,0.0749395186718186,16,6536,Ternate,grid,Halmahera,435,127.917868,0.234849
820203100401,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,608,127.913395,0.227188
820203100501,1,331.467354474861,158004,154,0.0783333524427577,18,6832,Ternate,grid,Halmahera,731,127.917065,0.244817
820203100699,2,3028.99598656927,111834,109,0.525344829563044,296,45819,Ternate,grid,Halmahera,424,127.8444688,0.139103526
820203100701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,321,127.882304,0.187063
820203100801,1,782.748201313083,145692,142,0.0765676416294988,17,6678,Ternate,grid,Halmahera,539,127.917592,0.241883
820203200101,2,11059.1933782076,180576,176,0.664492014171549,392,57955,Ternate,grid,Halmahera,817,128.031983,0.476483
